,category,sub_category,sub_sub_category,title,description,gender
591,,None,None,Harlo High-Low Sweater,"Cut with a dramatic high-low hemline, this cotton-blend pullover is knit for an ultra-relaxed fit with an exaggerated back slit for styling versatility.   Pullover  Fabric: 64% cotton, 36% rayon  Washable, dry clean recommended  Imported",None
593,clothing,tops,dress shirts,John Bartlett Statements Men's Fine Stripe Patterned Dress Shirt,Exclusively ours! Subtle stripe details add depth to this John Bartlett Statements dress shirt.    Featured in purple     Spread collared     Left chest pocket     Allover stripe pattern     Button-down front     Standard button cuffs     Wrinkle-free finish     Cotton / polyester     Imported,mens
594,sports & outdoors,team shop,team clothing,Minnesota Timberwolves Fanatics Branded Women's Nostalgia Fleece Sweatshirt - Black,"Boast your never-ending team loyalty to the Minnesota Timberwolves with this chic Nostalgia fleece sweatshirt from Fanatics Branded. This Minnesota Timberwolves top is ideal for casual occasions. Featuring screen print graphics, it's the perfect way to say that you're a bona fide Minnesota Timberwolves fan through and through!",unisex
595,,None,None,,"Look crisp and collected in this short sleeve grid button down from Van Heusen.    Featured in orchard     Button-down collar     Short sleeves     Full front button placket     Allover grid plaid pattern     Soft, durable woven fabric     Machine washable     Cotton / polyester / rayon     Imported",None
596,clothing,dresses,None,"Sachin & Babi Noir Cap-Sleeve Embellished Cocktail Dress, Raspberry","""Sachin & Babi Noir jacquard dress with floral embellishments. Approx. length from shoulder to hem: 37""""L (size 4); 38""""L (size 12). Jewel neckline. Cap sleeves. Sheath silhouette. Straight hem. Hidden back zip. Fabric 1, polyester. Fabric 2, silk. Lining, polyester. Dry clean. Imported.""",womens
597,sports & outdoors,team shop,team clothing,Texas Tech Red Raiders Scarlet Punch Out Full Zip Track Jacket,"Get the perfect look to let everyone know you have the best style on game day! You'll have a fresh look with this Texas Tech Red Raiders Punch out track jacket. With a full zip front and two front pockets, you'll have a modern, everyday look!",unisex
598,sports & outdoors,team shop,team accessories,Detroit Tigers New Era Fundamental Tech Diamond Era 9FORTY Adjustable Hat - Navy/Orange,"As a die-hard Detroit Tigers fan, you have all of the gear you could imagine, but you are always out looking for that unique piece that will set you apart from the crowd. This Detroit Tigers Fundamental Tech Diamond Era 9FORTY adjustable hat from New Era is the cap you've been looking for. This hat features a raised embroidered Detroit Tigers hat logo on the front, while the back features their embroidered wordmark. This hat features COOLERA, SOLARERA and MICROERA technologies which wicks away sweat while providing UPF 50+ protection and odor control. The diamond-textured fabric is also designed to keep you dry and cool, so you can wear this awesome Detroit Tigers hat all game long and still be content.",unisex
599,,None,None,Hudson Wilde Five-Pocket Straight-Leg Jeans,"""Relaxed, whiskered staple with slight fading  Belt loops  Zip fly with button closure  Five-pocket style  Rise, about 10""""  Inseam, about 35""""  Leg opening, about 17""""  Cotton/polyester/elastane  Machine wash  Imported""",None
600,clothing,outerwear,None,Carhartt Twill Work Jacket - Mens,"FEATURES of the Carhartt Men's Twill Work Jacket   Wrinkle-resistant fabric with stain-repel and release finish  Mid weight quilt lining in body, nylon lining in sleeves  Spread collar  Inside pocket  Two lower-front pockets  Two-snap-adjustable cuffs  Pleated bi-swing back  Triple-stitched main seams",mens
601,sports & outdoors,team shop,team clothing,Women's Washington Nationals Red Plus Sizes Primary Logo Pullover Hoodie,"Show your Washington Nationals pride every time you wear this Primary Logo hoodie. Featuring Washington Nationals graphics, this hoodie will keep you comfortable and full of team spirit.",unisex
602,sports & outdoors,team shop,team clothing,Nike Michigan State Spartans Heathered Gray Dri-FIT Touch Performance T-Shirt,"Bring your training to the next level with this Michigan State Spartans Dri-Fit touch shirt. Specially enhanced with Dri-Fit technology that pulls moisture away from your skin, keeping you cool, dry and looking great. Represent the Michigan State Spartans while staying active with this high-performance shirt.",unisex
603,clothing,tops,t-shirts,,,mens
604,clothing,underwear & intimates,bras,Katie Lightly Lined Bra,"Lightly lined|Plunge silhouette|Underwire|Adjustable straps|Back hook closure|73% Nylon, 27% Elastane|Hand Wash|Imported",womens
605,sports & outdoors,team shop,team clothing,Men's Golden State Warriors Majestic Royal Big & Tall Armor II Pullover Hoodie,"Show off who you support when you wear this Golden State Warriors Armor II pullover hoodie from Majestic. This hoodie has crisp graphics, so you'll be showing your unwavering support for the Golden State Warriors every time you put it on.",unisex
606,sports & outdoors,team shop,team clothing,New Orleans Pelicans Navy Police Badge T-Shirt,"Get the perfect look to let everyone know you are a stylish New Orleans Pelicans fan! With eye-catching graphics, this sweet Police Badge T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
607,sports & outdoors,team shop,team clothing,East Carolina Pirates Proud Mascot Pullover Hoodie - Ash,"You can't go wrong with a classic hoodie when you want to show off that East Carolina Pirates team spirit in timeless style! This Proud Mascot hoodie features a sleek, eye-catching design that you'll wear with pride on game day!",None
608,accessories,handbags,crossbody bags,,"""Featured in black/white     Crossbody design     Zip closure     Exterior features two zip compartments, clasp compartment and zip pocket     Striped lining     Silver tone hardware     """"9"""" patterned bag     Cotton/manmade materials     Imported""",unisex
609,sports & outdoors,team shop,team clothing,Hartford Hawks Ballpark Pullover Hoodie - Scarlet,"""Before you head to the ball game, make sure you're reppin' the Hawks! Wear this Hawks Ballpark hoodie and you'll be good to go! It features a printed school name, """"Baseball"""" lettering, an establishment year and a baseball graphic. Everyone will know which team you're rooting for in this Hawks hoodie.""",unisex
610,sports & outdoors,team shop,team clothing,adidas #23 Michigan Wolverines White Iced Out Replica Jersey,"When you hit the court in this new Michigan Wolverines #23 Iced Out Replica jersey from adidas, all of your teammates will be begging you to tell them where they can get one of their own! The bright Michigan Wolverines colors and graphics are sure to catch the eye of anyone on the court as you imitate your favorite player shooting a three.",unisex
611,sports & outdoors,team shop,team clothing,Under Armour St. Johns Red Storm Red Logo Tech Performance T-Shirt,Hit the stands or the gym in style with this Under Armour St. Johns Red Storm Logo Tech HeatGear T-shirt! This polyester St. Johns Red Storm tee features HeatGear technology to transfer moisture away from your skin to keep you cool and dry whether you are cheering for your team or working toward a personal best on the treadmill. The vibrant St. Johns Red Storm colors and graphics will give your outfit some team swagger that will have heads turning wherever you go.,unisex
612,shoes,None,None,"Loeffler Randall Callie Leather Demi-Wedge Oxford, Silver","""Loeffler Randall mirror leather oxford. 1.8"""" demi-wedge heel. Round toe. Tassel-tie front. Stitched welt. Leather lining. Rubber outsole. """"Callie"""" is imported.""",womens
613,sports & outdoors,team shop,team accessories,New Era Baltimore Orioles Black Lined Mesh Visor,"Show off your Baltimore Orioles swagger on game day with this lined mesh visor from New Era! Featuring a raised embroidered team logo on the front and fabric technology to protect you from sunlight and to wick away sweat, you'll definitely have the perfect look while you boast your fandom for your beloved Baltimore Orioles. You'll be rocking your sweet Baltimore Orioles style when you wear this visor at the stadium.",unisex
614,clothing,tops,blouses,Saks Fifth Avenue Collection Silk Floral Cold-Shoulder Tie-Neck Blouse,"""EXCLUSIVELY OURS  Floral-print silk blouse in cold-shoulder style  Tie neckline  Shoulder cutouts  Long sleeves with button cuffs  Front and back yoke  Pullover style  About 26"""" from shoulder to hem  Silk  Dry clean  Imported  Model shown is 5'10"""" (177cm) wearing US size Small.""",womens
615,,None,None,Helmut Lang Side Tie Tank Top,"""Self-tie bows define flowing, loose-fit tank top  Squareneck  Sleeveless  Self-tie bows at sides  Pullover style  About 23"""" from shoulder to hem  Viscose  Dry clean  Imported of Italian fabric  Model shown is 5'10"""" (177cm) wearing US size Small.""",None
616,sports & outdoors,team shop,team home & pet,Dallas Cowboys #1 Finger Wobbler Wall Art,Your fan cave is an amazing collection of Dallas Cowboys memorabilia. Now you'll be able to add to your gear when you get this Dallas Cowboys #1 Finger Wobbler wall art. It features amazing Dallas Cowboys graphics all over and comes with a large spring which will give it some extra bounce when you move it.,None
617,sports & outdoors,team shop,team kids & baby,Colorado Buffaloes Infant Big Logo Bodysuit - Black,"Now that your little one is here the next step is getting him ready to be the biggest Colorado Buffaloes fan anyone's ever seen. Since you're a huge fan, it's only right that your little one stays in spirit just like you. Make sure he is ready to cheer on the Colorado Buffaloes with this Big Logo creeper! This cool creeper will ensure that this team will be the only one he'll ever even consider! Featuring bold Colorado Buffaloes graphics, his fandom is sure to shine just as bright as yours!",baby & toddler
618,accessories,jewelry,bracelets,Ivanka Trump Metropolis 18k Octagonal Link Diamond Bracelet,"""From the Ivanka Trump Metropolis Collection. 18-karat yellow gold. Octagonal links with Greek key detailing, 12.5mm. White pave diamonds; 0.51 total carat weight. Push clasp. 7 1/4""""L.""",womens
619,,None,None,Men's UA Printed,,mens
620,sports & outdoors,team shop,team clothing,Kansas State Wildcats Nike Dri-FIT Touch Performance T-Shirt - Heathered Gray,"Stay cool while training like the pros do in this Kansas State Wildcats Nike Dri-Fit touch shirt. Made with Dri-Fit technology that moves sweat away from the body, where it evaporates from the fabric surface. You'll be sure to stay dry and comfortable-just like your favorite Kansas State Wildcats players.",unisex
621,shoes,boots,None,"Saint Laurent Wyatt Suede Harness Boot, Brown","""Saint Laurent Wyatt suede boot. Rounded square toe.; 8""""H. Harness buckle across front Stacked heel. Side-zip closure. Leather lining and insole. Made in Italy.""",mens
622,clothing,outerwear,None,Calvin Klein Tie Front Coat With Faux Fur Collar,Stay warm and classy with this tie front coat from Calvin Klein that features a faux fur collar.    Featured in black     Faux fur collar     Long sleeves     Single button front closure     Belted waist     Two pockets     Dry clean     Shell: wool / polyester / rayon / nylon     Lining: polyester     Faux fur trim: polyester     Imported,womens
624,clothing,tops,None,"Rag & Bone Darcie Mixed-Media Mock-Neck Tank, Salute","""Rag & Bone """"Darcie"""" tank in satin. Asymmetric slit at back. Mock collar. Full shoulder coverage. Relaxed fit. Contrast hem. Acetate/rayon. Imported.""",womens
625,,None,None,Vix Leather-Strap Swim Bottom,Vix swim bottom in solid microfiber. Low rise. Leather side straps. Minimal seat coverage. Nylon/spandex. Made in Brazil.,unisex
626,accessories,neckties,None,Polo Ralph Lauren Block-Print Silk Pocket Square Red One Size,"""With a colorful motif inspired by traditional hand-blocking  this pocket square adds a vibrant touch to classic tailoring. What's more  the silk style is crafted in Italy and carefully finished with hand-rolled edges. 14"""" L x 14"""" W. """"Ralph Lauren"""" and our signature pony are printed at the lower right corner. 100% silk. Dry clean. Made in Italy.""",mens
627,clothing,dresses,None,,,girls
628,sports & outdoors,team shop,team clothing,Pro Line Mens Carolina Panthers Joe Webb Team Color Jersey,"The official Carolina Panthers Pro Line NFL jersey is manufactured on behalf of NFL Shop and is not manufactured by Nike. The Pro Line NFL jersey is only sold through NFL Shop. The Pro Line NFL jersey is crafted with polyester premier mesh and designed with printed front and back numbers, letters, and logos. The Nike logo does not appear on this jersey.",unisex
629,accessories,None,None,quilted backpack,"Update your handbag game this season with this quilted, casual-cute pack. A stylish alternative to a tote or crossbody, it features slick faux leather and plenty of space for anything you might need at work or on the weekends.",womens
630,clothing,sweaters,None,Polo Ralph Lauren Cashmere Pocket Tee Polo Black Xs,"""Featherweight cashmere puts a luxe spin on the must-have tee in this effortlessly chic piece. Relaxed fit. Size medium has a 24"""" body length. Crew neckline. Short sleeves. Left chest patch pocket. 100% cashmere. Hand wash. Imported. Model is 5'10""""/178 cm and wears a size small.""",womens
631,clothing,tops,None,,Burnout detailing accents this plaid print button down shirt from Alfred Dunner.     Featured in multi     Point collar     Short sleeves     Full button front closure     Allover print     Burnout accents     Cotton / polyester     Imported,womens
632,,None,None,,"""Pleating detail on the vamp gives an edgy vibe to these women's Naturalizer """"Jemah"""" casual ankle booties, making them perfect for pairing with skinny denim and a tunic. Side zippers offer easy entry and faux leather creates a luxe look.     Featured in grey     2"""" heel     3"""" shaft     10.25"""" circumference     Inside zipper     Pleating details     Faux leather upper     Manmade sole     Fabric lining     Imported""",None
633,sports & outdoors,team shop,team clothing,Utah Jazz Women's Freehand Tri-Blend V-Neck T-Shirt - Navy,"Sure you can go around and tell everyone how dedicated you are to the Utah Jazz, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Utah Jazz fan with this Freehand T-shirt! This tee boasts your team pride with Utah Jazz graphics. There are many ways to show your spirit, but this way you won't lose your voice.",unisex
634,clothing,sweaters,None,,Bring back a classic look with this lovely loose tension sweater from Chaps.    Ribbed mock neck     Long sleeves with ribbed cuffs     Ribbed hem     Allover texture     Cotton / acrylic     Featured in gray     Imported,womens
635,sports & outdoors,team shop,team clothing,,"Celebrate your Notre Dame Fighting Irish fandom with this Ascender Bonded jacket from Columbia! Let your Notre Dame Fighting Irish passion shine through during those cold games by wearing this comfy softshell jacket. It features an embroidered Notre Dame Fighting Irish graphic, two front zippered pockets and a drawcord hem. Shop for your favorite NCAA gear at Fanatics.com",unisex
637,clothing,tops,None,,,mens
639,sports & outdoors,team shop,team clothing,Harvard Crimson White Big & Tall Primary Logo T-Shirt,"Get the perfect look to let everyone know you are a stylish Harvard Crimson fan! With eye-catching graphics, this sweet Primary Logo T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
640,clothing,dresses,None,"Joie Arjun Bell-Sleeve Silk Dress, Black","""Joie """"Arjun"""" minidress in crepe. Split neckline. Long sleeves; bell cuffs. Blouson bodice. Drawstring waist. Arched hem. Pullover style. Silk. Imported.""",womens
641,clothing,denim,None,,,womens
642,sports & outdoors,team shop,team clothing,Men's Tampa Bay Rays Navy Distressed Team Long Sleeve Tri-Blend T-Shirt,"Show your Tampa Bay Rays pride every time you wear this Distressed Team T-shirt. Featuring Tampa Bay Rays graphics, this tee will keep you comfortable and full of team spirit.",unisex
643,sports & outdoors,team shop,team clothing,adidas Golf Women's 2017 U.S. Open 3-Stripe climalite Long Sleeve Polo - Black/White,,unisex
644,kids & baby,boys clothing,None,Calvin Klein Boys' 8-20 Bi-Stretch Pants,"Perfect for dressy occasions, these Calvin Klein pants have front slant pockets and two back pockets with buttons. Bi-strech fabrication moves with him for easy comfort.    Featured in navy     Traditional waist     Front slant pockets     Two back pockets with buttons     Bi-stretch     Full length     Polyester / rayon / spandex     Imported",baby & toddler
645,kids & baby,girls clothing,girls shirts & tops,,,girls
647,sports & outdoors,team shop,team clothing,ECSU Vikings Youth Heather Gray Got Game T-Shirt,"Get the perfect look to let everyone know you are a stylish ECSU Vikings fan! With eye-catching graphics, this sweet Got Game T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",None
648,clothing,tops,blouses,,,womens
649,sports & outdoors,team shop,team clothing,Majestic Baltimore Orioles Charcoal First Among Equals T-Shirt,A little Baltimore Orioles spirit is the perfect addition to any outfit. This Majestic First Among Equals T-shirt features the perfect amount of color and Baltimore Orioles graphics to bring the right amount of swag into your wardrobe. No one will be able to deny your fandom when you show up to the game wearing this sweet Baltimore Orioles tee!,unisex
650,kids & baby,girls clothing,None,,,baby & toddler
653,clothing,outerwear,vests,Calvin Klein Ruffle Front Vest,Embellish your favorite jeans and cami combo with this sumptuous ruffle front vest from Calvin Klein.    Polyester / rayon / spandex    Machine wash    Open ruffle front    Sleeveless    Imported,womens
654,accessories,eyeglasses,None,Oakley Plank 2.0 Small Eyeglasses-Men's black,"Oakley is continually seeking out problems and solving them with inventions in art.  This philosophy has made Oakley one of the most iconic and inimitable brands on the market, with innovations that world class athletes around the globe depend on to compete at the highest level possible.  That stigma is seen throughout the eyewear collection, both optical and sun.",mens
655,clothing,suits,None,"DKNY Solid Wool Two-Piece Suit, Gray","""DKNY two-piece suit in solid wool. Approx. measurements: 9"""" front rise; 26.5"""" inseam: 16"""" leg opening. Notched collar; two-button front. Long sleeves with four-button cuffs. Two exterior flap pockets; one welt pocket. Three interior welt pockets. Double-vented back. Matching flat-front pants. Dry clean. Imported.""",mens
656,clothing,shorts,None,G.H. Bass & Co. Men's Canvas Terrain Shorts,"With their relaxed fit and comfortable cotton construction, these G.H. Bass & Co. men's canvas terrain shorts are the perfect pair for a casual summer day.    Cotton    Button and zip fly    Sits below the waist    Belt loops    Four pockets    Machine washable    Hits at the knee    Imported",mens
657,clothing,underwear & intimates,bras,,Featured in white     Demi style bra     Adjustable straps     Lace details on side     Two clasps with adjustable sizes in back     Machine washable     Cotton/spandex     Imported,womens
658,sports & outdoors,team shop,team shoes,Cuce San Francisco 49ers Women's Winners Boots,Everyone knows that the party is over once your feet get cold. Avoid the early exit from any activity and spread some San Francisco 49ers love with these Cuce Winners boots! The artificial wool lining will maintain a toasty environment for your toes inside these cute boots. That warmth goes full blaze on the outside of these kicks with crystal-beaded and embroidered graphics showing some San Francisco 49ers pride.,unisex
659,sports & outdoors,team shop,team clothing,Philadelphia Phillies Nike Home Practice T-Shirt - Royal,Get ready to watch your Philadelphia Phillies bring home another win on game day with this New Home practice T-shirt from Nike. This comfy tee will quickly become one of your favorites to sport. It features quality Philadelphia Phillies graphics and authentic team colors that any true fan would love.,unisex
660,sports & outdoors,team shop,team clothing,Youth Houston Texans Braxton Miller Pro Line Navy Player Jersey,Let your youngster show off his #1 team spirit with this Houston Texans Braxton Miller player jersey from Pro Line! It features sweet graphics for all to see.,unisex
661,sports & outdoors,team shop,team clothing,Women's Los Angeles Dodgers '47 Royal Knockout Scoop Neck T-Shirt,This Knockout scoop neck T-shirt from '47 shows off your Los Angeles Dodgers spirit proudly. It features a flattering scoop neck and Los Angeles Dodgers graphics to let everyone know you're the biggest fan around.,None
662,,None,None,,"""Dare to be dazzling in these Easy Street """"Vibrant"""" Pumps. Patent uppers combine with a stretchy elastic band for elegant, comfortable style, while the 2 heel lengthens and flatters your lovely legs. Take on the boardroom or dance floor in confidence wearing these versatile womens pumps.     Featured in red patent     2"""" heel     Easy Flex rubber blend outsole     Padded tricot insole     Stretch elastic band     PU     Imported""",None
663,clothing,tops,None,Tasc Hybrid Fitted SS T - Mens,FEATURES of the Tasc Men's Hybrid Fitted Short Sleeve T   Strategic ventilation at mesh panels  Longer length to stay put  Natural temperature regulation  Moisture wicking  Natural Anti-Odor Technology for extended wear  Natural UPF 50+ Protection  4-way stretch,mens
664,sports & outdoors,team shop,team clothing,Women's Colorado Rockies Trevor Story Majestic White/Purple Home Cool Base Player Jersey,Let everyone know who your favorite player is when you rock this Majestic Trevor Story Colorado Rockies Cool Base Player jersey! Tackle twill Colorado Rockies graphics will let your team pride shine while the Cool Base technology wicks away moisture from your body to keep you cool and dry.,unisex
665,,None,None,Michael Michael Kors Long Hooded Puffer Coat,Long silhouette featuring hood with drawstring closure   Front zip closure   Long sleeves with thumbholes   Lined   Polyester   Machine wash   Imported,womens
666,clothing,dresses,day dresses,Tahari Arthur S. Levine Mock-Neck Sheath Dress,"A flattering fit designed in georgette fabrication   Mock neckline   Sleeveless   Hook-and-eye closure   Lined   About 36.5 from shoulder to hem   Polyester   Dry clean   Imported      This item will arrive with a tag attached and instructions for removal. Once tag is removed, this item cannot be returned.",womens
667,clothing,pants,None,Stretch Washed Chinos,"Don't get us wrongthe classic Washed Chinos are great. Amazing, in fact. But there's something to be said for that pair of comfy chinos you can lazy around in on a Sunday, or wear on a long flight without feeling constricted. Which is right when the Stretch Cotton Washed Chinos come into play. Same Washed Chino fit and color, but with just a bit of comfortable stretch.",mens
668,sports & outdoors,team shop,team clothing,Montana Grizzlies Champion Tradition T-Shirt - Gray,Be ready to represent the Montana Grizzlies on game day with this Champion Tradition T-shirt! It features fantastic Montana Grizzlies printed graphics to announce your allegiance to the team. This T-shirt was constructed with a tagless design to keep you comfortable when you are cheering for the Montana Grizzlies.,unisex
669,,None,None,Flat Front Short,"""A WARM WEATHER FAVORITE, OUR FLAT FRONT SHORT IS THE PAIR TO OWN IN EVERY COLOR! PAIR WITH YOUR FAVORITE SUMMER TOP FOR A CUTE AND CASUAL LOOK.   Banded waistband and belt loops  Zip front  Slash pockets in front  Welt pockets in back  Sits below waist  Relaxed, easy fit through hip and thigh  Hits at upper thigh  6"""" Inseam  98% Cotton, 2% Spandex  Machine wash cold  Imported""",unisex
670,sports & outdoors,team shop,team clothing,Toronto Raptors Women's 2016 Eastern Conference Finals Bound 21 Years in the Making T-Shirt - Red,There is just no stopping your Toronto Raptors. Grab this 2016 Eastern Conference Bound 21 Years in the Making tee to celebrate. The fresh graphics on this top are perfect for any dedicated Toronto Raptors fan.,None
671,sports & outdoors,team shop,None,Fanatics Authentic Brendan Gallagher Montreal Canadiens Autographed Hockey Puck with Go Habs Go Inscription,"""This puck has been personally hand-signed by Brendan Gallagher with the inscription """"GO HABS GO."""" It is officially licensed by the National Hockey League and comes with an individually numbered, tamper-evident hologram from Fanatics Authentic. To ensure authenticity, the hologram can be reviewed online. This process helps to ensure that the product purchased is authentic and eliminates any possibility of duplication or fraud.""",unisex
672,clothing,dresses,evening dresses,Calvin Klein Sleeveless Ruched Gown,,womens
673,shoes,sneakers & athletic shoes,None,"Maison Margiela Painted Crackle Knit Trainer, White",Maison Margiela white textile trainer sneaker with crackled black paint coating. Round toe. Lace-up front. Fitted collar. Leather lining and insole. Rubber outsole. Made in Italy.,mens
674,home & pet,pet,fish,,,unisex
675,clothing,skirts,None,,,womens
676,shoes,sandals,None,"Pedro Garcia Yuna Suede Strappy Sandal, Black","""Pedro Garcia suede sandal. 3.8"""" covered heel. Open toe. Strappy vamp. Grip slingback strap. Rubber outsole. """"Yuna"""" is made in Spain.""",womens
678,sports & outdoors,team shop,team clothing,Edmonton Oilers Ash Heritage Pullover Hoodie,"Get the perfect look to let everyone know you are a stylish Edmonton Oilers fan! With eye-catching team graphics, this Heritage hoodie will show everyone that you know how to display your team spirit in style. With a comfy hoodie and that classic look you love, you'll be ready to head anywhere and know that you look your best.",None
679,sports & outdoors,team shop,team clothing,Men's New York Yankees Big & Tall Majestic Gray Not Without Struggle T-Shirt,Get ready for the season with this New York Yankees Not Without Struggle T-shirt from Majestic! It features authentic team graphics that'll have you ready to cheer the New York Yankees on to victory!,unisex
680,sports & outdoors,team shop,team clothing,Men's St. Louis Cardinals Red Team Color Primary Logo Long Sleeve T-Shirt,"Show your St. Louis Cardinals pride every time you wear this Primary Logo T-shirt. Featuring St. Louis Cardinals graphics, this tee will keep you comfortable and full of team spirit.",unisex
681,sports & outdoors,team shop,team clothing,Eric Kush Player Issued T-Shirt - Ash,You'll do whatever it takes to show your support for Eric Kush and this NFLPA tee is the perfect way to show everyone your dedication to being his biggest fan. An NFLPA graphic sits just above the player's name and number on the chest of this awesome tee. You'll follow him no matter where he goes and this tee proves it! Rock this tee in the stands and you're sure to make friends with everyone who loves him just as much as you do.,unisex
682,,None,None,,,None
683,,None,None,"Basler, Plus Size Colorblock Striped Crepe Dress","""Sleek colorblock crepe dress with contrasting stripes  Round neckline  Bracelet sleeves  Concealed back zip closure  About 41"""" from shoulder to hem  Viscose/polyamide/elastane  Dry clean  Imported""",None
684,clothing,dresses,day dresses,,,womens
685,clothing,shorts,None,,,mens
686,sports & outdoors,team shop,team accessories,Boston Red Sox Roadblock Duffle Bag - Navy,"You've got a job that's constantly keeping you in airports. Take the Boston Red Sox with you to every time zone with this Roadblock duffle bag. It's got a large Boston Red Sox logo on it, a large zippered main compartment and two carry handles.",unisex
689,,None,None,,,None
691,clothing,tops,None,,"""A lace-up placket finishes this ribbed cotton tee with feminine flair.    Featured in blue     Slim fit     Size petite medium has a 24 1/2"""" front body length and a 25 1/2"""" back body length     Rounded neckline with contrasting trim     Lace-up placket     Short sleeves     """"1967 Lauren Ralph Lauren"""" label at the front right hem     Cotton     Machine washable     Imported""",womens
692,clothing,maternity clothing,maternity dresses,Three Seasons Maternity 3/4 Sleeve Belted V-Neck Knit Dress,,womens
693,sports & outdoors,team shop,team clothing,Fanatics Branded Oregon Ducks Ash Primary Team Logo T-Shirt,"Get the perfect look to let everyone know you are a stylish Oregon Ducks fan! With eye-catching graphics, this sweet Fanatics Branded Primary Team Logo T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
694,shoes,pumps,None,COACH VONNA HEEL,"""Iconic Coach bead-chain accents add a subtle signature edge to a pointed-toe pump with an elegant profile. Crafted in polished calf with a beautiful sheen, the low-cut design is finished with a slender heel and refined leather linings and soles.    Calf leather     3 1/4"""" heel     Style No: A00157     Currently, Coach product cannot be shipped to Hawaii, US Territories or APO/FPO addresses""",womens
695,sports & outdoors,team shop,team clothing,Men's San Francisco 49ers Starter Scarlet The Captain Varsity Satin Jacket,Be ready to will your guys to victory when temperatures take a dip with this San Francisco 49ers The Captain Varsity satin jacket from Starter. Staying comfortably warm will be no problem at all with this definitive San Francisco 49ers jacket!,unisex
696,,None,None,,,None
697,,None,None,,"""Web exclusive! Kick your footwear collection into high gear this season with a pair of """"Kacey"""" slip-ons from Easy Street. These athleisure shoes are the perfect blend of sportiness and style with breathable fabric uppers that keep your feet cool and comfortable and a fun print thats sure to catch the eye of everyone you meet. Whether youre heading out on a marathon shopping trip or are enjoying an afternoon at your favorite park, youll love the fit and feel of these womens slip-on athleisure shoes.     Featured in navy flannel/snake    1"""" heel    Memory foam insoles w/fabric lining    Double elastic goring on vamp    EVA outsoles    Fabric uppers    Imported""",None
698,accessories,neckties,None,Calvin Klein Men's Micro-Solid 'A' Silk Tie,Featured in lavender     Silk     Regular width     Imported,mens
699,clothing,pants,None,AEO Twill X Kickboot,,womens
700,sports & outdoors,team shop,team clothing,'47 Denver Broncos Women's Gray Stadium Pullover Hoodie,Don't skimp on style when game day comes around! This Denver Broncos Stadium pullover hoodie from '47 is the perfect way to top off your favorite look anytime! It features a sweet eye-catching design with unique Denver Broncos graphics that will be the envy of everyone around.,unisex
701,shoes,boots,None,,,womens
702,clothing,tops,None,,,womens
705,clothing,dresses,None,,,womens
706,shoes,sandals,espadrilles,"kate spade new york linds striped bow espadrille flat, black/white","""kate spade new york striped napa leather espadrille flat. 1"""" flat heel. Round toe with bow. Golden spade charm on backstay. Slip-on style. Braided jute midsole. Rubber outsole. """"linds"""" is imported.""",unisex
707,,None,None,,Featured in rose     Stretch side waist     Stretch mesh inserts     Cotton gusset     Nylon/spandex     Imported,None
709,,None,None,G.H. Bass & Co. Men's Explorer Short Sleeve Button Down Shirt,"Every outdoorsman will appreciate this rugged G.H. Bass & Co. Explorer button down. Turbo Dry technology wicks away moisture, while 30 UPF sun protection ensures you keep cool and protected.     Featured in red     Point collar     Mesh lined cape vents at the shoulders offer extra breathability     Short sleeves     Full front button down     Two chest pockets with button closures     Allover checkered pattern     30 UPF sun protection     Turbo Dry technology wicks away moisture     Machine washable     Cotton / polyester     Imported",None
710,accessories,jewelry,earrings,John Hardy Modern Chain Silver Diamond Square Stud Earrings,These John Hardy earrings are part of the Modern Chain collection. Crafted in sterling silver the square studs feature pave diamonds filling mirror-image chevron shapes and the triangles the arrangement encourages. A post back ensures your comfort and the safety of the jewelry. These stud earrings from John Hardy present a piece of wearable art.,womens
711,accessories,jewelry,necklaces,0.02 Ct. T.W. Diamond And Garnet Necklace In 14K Yellow Gold,,unisex
712,clothing,swimwear,two-piece swimsuits,Melissa Odabash Swimwear Bikini Bali Solid Bronze Tab Side Hipster Bottom Size 2,"Strappy tab side hipster bottom, offers moderate coverage.Strappy tab side hipster bottom, offers moderate coverage. Color Bronze, Color Family Gold, Size 2, Gender Female, Age Adult",womens
713,,None,None,,"""Easy Street """"Origin"""" Clogs are the perfect footwear to keep up with your busy day. Thick yet lightweight uppers never weigh you down, while cushioned insoles offer luxurious support. Pair these classically designed women's clogs with all of your jeans and casual trousers.     Featured in black lamey/black     1.5"""" heel     Brushed tricot lining     Cushioned microsuede insole     Elasticized instep     PU unit bottom     Manmade uppers     Imported""",None
