,category,sub_category,sub_sub_category,gender
1766,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
1767,clothing,tops,None,plus size
1768,sports & outdoors,team shop,team clothing,unisex
1769,sports & outdoors,team shop,team accessories,unisex
1770,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
1771,accessories,jewelry,earrings,unisex
1772,accessories,luggage & bags,luggage,unisex
1774,sports & outdoors,team shop,team clothing,unisex
1775,,None,None,unisex
1776,sports & outdoors,team shop,team clothing,unisex
1777,clothing,tops,polo shirts,mens
1778,sports & outdoors,team shop,team clothing,None
1780,clothing,sleepwear & loungewear,loungewear,womens
1781,clothing,swimwear,one-piece swimsuits,womens
1782,clothing,tops,dress shirts,mens
1783,clothing,outerwear,quilted & puffers,womens
1784,kids & baby,girls clothing,"girls pants, skirts & shorts",baby & toddler
1785,clothing,outerwear,None,mens
1786,sports & outdoors,team shop,None,unisex
1787,clothing,pants,None,mens
1788,sports & outdoors,team shop,team clothing,unisex
1789,,None,None,unisex
1790,sports & outdoors,team shop,team clothing,unisex
1791,sports & outdoors,team shop,team accessories,None
1792,accessories,belts & buckles,None,mens
1793,sports & outdoors,team shop,team clothing,unisex
1794,sports & outdoors,team shop,None,None
1795,sports & outdoors,team shop,team clothing,unisex
1796,sports & outdoors,team shop,team clothing,None
1797,accessories,jewelry,necklaces,unisex
1798,sports & outdoors,team shop,team clothing,unisex
1799,sports & outdoors,team shop,team clothing,unisex
1800,sports & outdoors,team shop,team clothing,None
1801,home & pet,food & gifts,food items,unisex
1802,sports & outdoors,team shop,team clothing,unisex
1804,sports & outdoors,team shop,team clothing,unisex
1806,clothing,outerwear,None,mens
1808,clothing,tops,dress shirts,mens
1809,clothing,tops,None,womens
1810,kids & baby,girls clothing,None,baby girls
1811,sports & outdoors,team shop,team accessories,None
1812,sports & outdoors,team shop,team home & pet,None
1813,kids & baby,girls clothing,None,girls
1814,home & pet,school & office,supplies,None
1815,shoes,sneakers & athletic shoes,None,womens
1816,sports & outdoors,team shop,team clothing,unisex
1817,,None,None,unisex
1818,,None,None,unisex
1819,,None,None,None
1821,sports & outdoors,team shop,team clothing,unisex
1822,shoes,pumps,None,womens
1823,kids & baby,girls clothing,None,baby & toddler
1825,clothing,underwear & intimates,bras,womens
1826,sports & outdoors,team shop,team clothing,unisex
1828,sports & outdoors,team shop,team clothing,unisex
1830,sports & outdoors,team shop,team clothing,unisex
1831,kids & baby,girls clothing,None,baby girls
1832,,None,None,unisex
1834,,None,None,None
1835,clothing,sweaters,None,womens
1836,sports & outdoors,team shop,team clothing,unisex
1837,,None,None,unisex
1838,sports & outdoors,team shop,team accessories,unisex
1840,accessories,None,None,unisex
1841,kids & baby,boys clothing,boys pants & shorts,baby & toddler
1842,clothing,tops,None,plus size
1843,clothing,underwear & intimates,bras,womens
1844,clothing,tops,dress shirts,mens
1845,sports & outdoors,team shop,team accessories,unisex
1846,,None,None,None
1847,,None,None,None
1848,sports & outdoors,team shop,team clothing,None
1849,clothing,tops,polo shirts,mens
1850,accessories,jewelry,necklaces,womens
1852,clothing,None,None,womens
1853,sports & outdoors,team shop,team clothing,unisex
1854,sports & outdoors,team shop,team clothing,unisex
1855,clothing,tops,None,womens
1856,,None,None,None
1857,sports & outdoors,team shop,team clothing,unisex
1858,accessories,handbags,crossbody bags,unisex
1859,sports & outdoors,team shop,team accessories,unisex
1860,clothing,sweaters,None,womens
1861,clothing,tops,None,womens
1862,,None,None,None
1863,clothing,dresses,cocktail dresses,womens
1864,accessories,jewelry,bracelets,unisex
1865,sports & outdoors,team shop,team accessories,unisex
1866,kids & baby,baby,baby clothes,baby boys
1867,sports & outdoors,team shop,team kids & baby,baby & toddler
1868,sports & outdoors,team shop,team clothing,None
1869,clothing,tops,None,mens
1870,sports & outdoors,team shop,team clothing,None
1872,sports & outdoors,team shop,team clothing,unisex
1873,,None,None,None
1874,accessories,jewelry,necklaces,unisex
1875,,None,None,unisex
1876,sports & outdoors,team shop,team clothing,None
1877,,None,None,unisex
1878,clothing,None,None,plus size
1879,,None,None,None
1880,clothing,None,None,plus size
1881,clothing,underwear & intimates,bras,womens
1882,sports & outdoors,team shop,team clothing,None
1883,sports & outdoors,team shop,team clothing,unisex
1884,sports & outdoors,team shop,team clothing,unisex
1885,sports & outdoors,team shop,team clothing,unisex
1886,sports & outdoors,team shop,team clothing,unisex
1887,clothing,None,None,womens
1888,toys & games,"vehicles, hobby & r/c",trains & train sets,baby & toddler
1889,accessories,jewelry,rings,mens
1890,clothing,outerwear,blazers,mens
1891,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
1892,sports & outdoors,team shop,team clothing,unisex
1895,,None,None,mens
1896,sports & outdoors,team shop,team accessories,unisex
1897,sports & outdoors,team shop,team clothing,None
1898,clothing,outerwear,vests,mens
1900,clothing,activewear,active jackets,None
1901,clothing,None,None,womens
1902,clothing,denim,straight leg,womens
1903,,None,None,None
1904,clothing,tops,None,womens
1905,,None,None,None
1906,clothing,dresses,None,womens
1907,sports & outdoors,team shop,team accessories,unisex
1908,clothing,activewear,active tops,mens
1909,sports & outdoors,team shop,team clothing,unisex
1910,shoes,None,None,womens
1911,,None,None,None
1912,,None,None,unisex
1913,sports & outdoors,team shop,team clothing,unisex
1914,sports & outdoors,team shop,team clothing,None
1915,shoes,None,None,womens
1916,clothing,tops,dress shirts,mens
1917,clothing,outerwear,None,mens
1918,accessories,handbags,shoulder handbags,womens
1919,electronics,computers,"printers, scan & fax",None
1920,,None,None,None
1921,clothing,suits,suit separates,womens
1922,sports & outdoors,team shop,team clothing,unisex
1923,accessories,jewelry,earrings,None
1924,accessories,handbags,crossbody bags,womens
1925,sports & outdoors,team shop,None,unisex
1926,sports & outdoors,team shop,team clothing,unisex
1927,clothing,tops,None,womens
1928,sports & outdoors,team shop,team clothing,unisex
1929,,None,None,None
1931,clothing,denim,None,mens
1932,sports & outdoors,team shop,team clothing,unisex
1933,,None,None,unisex
1934,sports & outdoors,team shop,team clothing,unisex
1935,sports & outdoors,team shop,team clothing,unisex
1936,sports & outdoors,team shop,team clothing,None
1938,kids & baby,girls clothing,girls dresses,girls
1939,sports & outdoors,team shop,team clothing,unisex
1940,,None,None,unisex
1941,,None,None,unisex
1943,clothing,tops,None,womens
1944,kids & baby,boys clothing,boys shirts & tops,baby & toddler
1945,sports & outdoors,team shop,team clothing,unisex
1946,shoes,None,None,womens
1948,,None,None,unisex
1949,sports & outdoors,team shop,team clothing,unisex
1950,sports & outdoors,team shop,team clothing,unisex
1951,sports & outdoors,team shop,team clothing,unisex
1952,,None,None,None
1953,kids & baby,girls clothing,None,baby girls
1954,sports & outdoors,team shop,team clothing,unisex
1956,kids & baby,girls clothing,"girls pants, skirts & shorts",baby & toddler
1957,health & beauty,beauty,makeup & fragrance,womens
1958,clothing,dresses,None,womens
1959,sports & outdoors,team shop,team clothing,unisex
1960,sports & outdoors,team shop,team clothing,None
1961,sports & outdoors,team shop,team clothing,unisex
1963,clothing,dresses,day dresses,womens
1964,clothing,swimwear,two-piece swimsuits,womens
1965,,None,None,unisex
1966,sports & outdoors,team shop,team clothing,None
1967,clothing,denim,None,womens
1968,clothing,tops,None,womens
1969,,None,None,womens
1970,clothing,skirts,None,womens
1971,,None,None,unisex
1972,shoes,None,None,girls
1973,accessories,luggage & bags,business bags,unisex
1974,clothing,pants,dress pants,mens
1977,sports & outdoors,team shop,team clothing,None
1978,,None,None,None
1979,shoes,oxford shoes,None,mens
1980,clothing,sleepwear & loungewear,pajamas,womens
1981,sports & outdoors,team shop,team clothing,None
1983,sports & outdoors,team shop,team clothing,unisex
1984,shoes,None,None,baby & toddler
1985,clothing,tops,blouses,womens
1986,shoes,oxford shoes,None,womens
1987,sports & outdoors,team shop,team home & pet,None
1988,sports & outdoors,team shop,team accessories,unisex
1989,clothing,underwear & intimates,lingerie,womens
1990,accessories,luggage & bags,business bags,None
1991,clothing,pants,casual pants,mens
1992,sports & outdoors,team shop,team clothing,unisex
1993,clothing,tops,polo shirts,mens
1994,sports & outdoors,team shop,team accessories,unisex
1995,clothing,tops,dress shirts,mens
1996,clothing,dresses,None,girls
1997,,None,None,unisex
1998,clothing,tops,None,womens
1999,accessories,jewelry,earrings,unisex
2000,accessories,jewelry,None,None
2001,sports & outdoors,team shop,team clothing,None
2003,clothing,skirts,None,womens
2004,shoes,flats,ballet flats,womens
2005,clothing,sweaters,None,womens
2006,,None,None,None
2007,sports & outdoors,team shop,team clothing,unisex
2008,,None,None,unisex
2009,shoes,None,None,girls
2010,sports & outdoors,team shop,team clothing,unisex
2012,,None,None,None
2013,kids & baby,girls clothing,girls shirts & tops,baby & toddler
2014,,None,None,unisex
2015,kids & baby,baby,baby clothes,baby boys
2016,sports & outdoors,team shop,team clothing,unisex
2017,clothing,dresses,day dresses,womens
2018,sports & outdoors,team shop,team clothing,None
2019,clothing,dresses,day dresses,womens
2020,sports & outdoors,team shop,team accessories,unisex
2021,shoes,None,None,womens
2022,sports & outdoors,team shop,team clothing,unisex
2023,,None,None,unisex
2024,sports & outdoors,team shop,team clothing,unisex
2025,,None,None,None
2026,,None,None,unisex
2027,sports & outdoors,team shop,team clothing,unisex
2028,,None,None,None
2029,,None,None,None
2030,sports & outdoors,team shop,team clothing,unisex
2031,clothing,sweaters,turtlenecks,mens
2032,accessories,jewelry,necklaces,womens
2033,sports & outdoors,team shop,team clothing,unisex
2034,shoes,pumps,None,womens
2035,accessories,jewelry,rings,womens
2036,sports & outdoors,team shop,team kids & baby,kids
2037,accessories,sunglasses,None,unisex
2038,shoes,pumps,None,womens
2039,sports & outdoors,team shop,team clothing,unisex
2040,sports & outdoors,team shop,None,unisex
2041,clothing,denim,None,womens
2043,accessories,jewelry,necklaces,unisex
2045,,None,None,unisex
2046,shoes,boots,None,womens
2047,kids & baby,girls clothing,"girls pants, skirts & shorts",baby & toddler
2048,sports & outdoors,team shop,team clothing,unisex
2050,sports & outdoors,team shop,team accessories,unisex
2051,clothing,shorts,None,womens
2052,sports & outdoors,team shop,team clothing,None
2053,sports & outdoors,team shop,team clothing,unisex
2055,kids & baby,boys clothing,boys pants & shorts,baby & toddler
2056,sports & outdoors,team shop,team clothing,unisex
2057,,None,None,unisex
2058,shoes,None,None,mens
2060,,None,None,unisex
2061,clothing,denim,straight leg,mens
2062,shoes,pumps,None,womens
2063,shoes,pumps,None,womens
2064,,None,None,None
2065,clothing,pants,casual pants,mens
2067,clothing,dresses,cocktail dresses,womens
2068,clothing,dresses,wear-to-work dresses,womens
2069,sports & outdoors,team shop,None,None
2070,home & pet,kitchen & dining,dining,None
2072,sports & outdoors,team shop,team clothing,unisex
2074,sports & outdoors,team shop,team clothing,unisex
2075,sports & outdoors,team shop,team accessories,unisex
2076,accessories,jewelry,necklaces,unisex
2077,,None,None,unisex
2078,,None,None,None
2079,sports & outdoors,team shop,team clothing,None
2080,sports & outdoors,team shop,team clothing,unisex
2081,accessories,jewelry,earrings,unisex
2082,sports & outdoors,team shop,team clothing,None
2083,sports & outdoors,team shop,team clothing,unisex
2084,clothing,tops,dress shirts,mens
2085,clothing,outerwear,None,mens
2086,,None,None,unisex
2087,sports & outdoors,team shop,team clothing,None
2088,sports & outdoors,team shop,team clothing,unisex
2089,sports & outdoors,team shop,team clothing,unisex
2090,clothing,pants,None,mens
2091,kids & baby,baby,baby clothes,baby girls
2092,shoes,pumps,None,womens
2095,clothing,tops,None,womens
2098,sports & outdoors,team shop,team clothing,None
2099,shoes,None,None,womens
2100,shoes,pumps,None,womens
2101,sports & outdoors,team shop,team clothing,unisex
2102,clothing,swimwear,swim bottoms,womens
2103,sports & outdoors,team shop,team clothing,unisex
2104,shoes,sandals,None,womens
2105,accessories,socks & hosiery,socks,womens
2108,sports & outdoors,team shop,team clothing,unisex
2112,sports & outdoors,team shop,team accessories,unisex
2114,sports & outdoors,team shop,team clothing,unisex
2115,clothing,pants,None,womens
2116,sports & outdoors,team shop,team clothing,unisex
2117,,None,None,None
2118,,None,None,womens
2120,clothing,sweaters,None,womens
2121,clothing,dresses,evening dresses,womens
2122,sports & outdoors,team shop,None,unisex
2123,accessories,scarves & shawls,None,unisex
2125,sports & outdoors,team shop,team clothing,unisex
2127,clothing,tops,dress shirts,mens
2128,sports & outdoors,team shop,None,unisex
2129,accessories,handbags,shoulder handbags,unisex
2130,sports & outdoors,team shop,team clothing,unisex
2131,,None,None,unisex
2132,clothing,activewear,active tops,womens
2133,sports & outdoors,team shop,team home & pet,None
2135,shoes,None,None,mens
2137,sports & outdoors,team shop,team clothing,unisex
2139,,None,None,None
2140,accessories,jewelry,rings,unisex
2141,shoes,boots,None,womens
2142,,None,None,None
2143,,None,None,None
2144,,None,None,None
2145,sports & outdoors,team shop,team clothing,unisex
2147,clothing,shorts,None,mens
2148,clothing,underwear & intimates,underwear,mens
2149,clothing,tops,None,womens
2150,sports & outdoors,team shop,None,None
2151,kids & baby,baby,baby clothes,baby boys
2152,,None,None,None
2153,sports & outdoors,team shop,team clothing,unisex
2154,shoes,sneakers & athletic shoes,None,mens
2155,,None,None,None
2156,sports & outdoors,team shop,team clothing,unisex
2157,clothing,dresses,day dresses,plus size
2158,sports & outdoors,team shop,team clothing,unisex
2159,shoes,None,None,womens
2160,shoes,flats,None,womens
2161,clothing,pants,None,womens
2162,sports & outdoors,team shop,team clothing,None
2163,sports & outdoors,team shop,team clothing,unisex
2164,,None,None,unisex
2165,clothing,dresses,None,womens
2166,sports & outdoors,team shop,team clothing,unisex
2167,kids & baby,girls clothing,None,baby & toddler
2168,sports & outdoors,team shop,team clothing,None
2169,clothing,None,None,plus size
2170,sports & outdoors,team shop,team clothing,unisex
2171,sports & outdoors,team shop,team clothing,unisex
2173,,None,None,unisex
2174,sports & outdoors,team shop,team clothing,unisex
2177,sports & outdoors,team shop,team clothing,unisex
2178,sports & outdoors,team shop,team clothing,None
2179,accessories,None,None,unisex
2180,sports & outdoors,team shop,team clothing,unisex
2181,clothing,underwear & intimates,bras,womens
2182,clothing,dresses,None,womens
2183,,None,None,None
2184,accessories,luggage & bags,luggage,None
2185,sports & outdoors,team shop,team clothing,unisex
2186,sports & outdoors,team shop,team clothing,None
2187,,None,None,None
2188,clothing,denim,None,mens
2189,sports & outdoors,team shop,team clothing,unisex
2190,clothing,activewear,None,plus size
2191,sports & outdoors,team shop,games & outdoors activities,None
2192,,None,None,unisex
2194,sports & outdoors,team shop,team clothing,None
2195,clothing,tops,t-shirts,mens
2196,,None,None,unisex
2197,clothing,None,None,womens
2198,clothing,tops,None,womens
2200,sports & outdoors,team shop,team clothing,None
2201,clothing,denim,None,womens
2202,sports & outdoors,team shop,team clothing,None
2203,,None,None,unisex
2204,sports & outdoors,team shop,team clothing,unisex
2205,clothing,dresses,day dresses,womens
2206,clothing,denim,None,mens
2207,sports & outdoors,team shop,team accessories,None
2208,accessories,luggage & bags,None,unisex
2209,accessories,jewelry,rings,womens
2210,sports & outdoors,team shop,team accessories,unisex
2211,sports & outdoors,team shop,team clothing,unisex
2212,sports & outdoors,team shop,team clothing,unisex
2213,sports & outdoors,team shop,team clothing,None
2214,,None,None,unisex
2215,,None,None,None
2216,sports & outdoors,team shop,None,unisex
2217,shoes,pumps,None,womens
2218,clothing,outerwear,None,womens
2219,sports & outdoors,team shop,team clothing,None
2220,sports & outdoors,team shop,team clothing,None
2221,sports & outdoors,team shop,team shoes,unisex
2223,sports & outdoors,team shop,team accessories,unisex
2224,sports & outdoors,team shop,team clothing,unisex
2227,clothing,dresses,cocktail dresses,womens
2228,sports & outdoors,team shop,team accessories,unisex
2229,sports & outdoors,team shop,team clothing,unisex
2230,sports & outdoors,team shop,team clothing,unisex
2231,sports & outdoors,team shop,team clothing,unisex
2232,accessories,jewelry,earrings,unisex
2233,,None,None,None
2234,sports & outdoors,team shop,team clothing,unisex
2236,shoes,pumps,None,womens
2237,,None,None,womens
2238,sports & outdoors,team shop,team clothing,unisex
2239,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
2240,clothing,tops,sweatshirts,mens
2242,sports & outdoors,team shop,team clothing,unisex
2243,clothing,denim,skinny,womens
2244,,None,None,None
2245,sports & outdoors,team shop,team clothing,unisex
2246,sports & outdoors,team shop,team clothing,None
2248,accessories,jewelry,necklaces,womens
2249,clothing,tops,blouses,womens
2250,,None,None,None
2252,sports & outdoors,team shop,team clothing,unisex
2253,sports & outdoors,team shop,team clothing,unisex
2254,shoes,sneakers & athletic shoes,None,mens
2255,clothing,tops,t-shirts,womens
2256,,None,None,unisex
2257,clothing,dresses,evening dresses,womens
2258,,None,None,None
2260,clothing,outerwear,None,mens
2261,,None,None,mens
2262,,None,None,None
2263,,None,None,unisex
2264,sports & outdoors,team shop,team clothing,unisex
2265,clothing,tops,None,plus size
2266,clothing,dresses,cocktail dresses,womens
2267,,None,None,None
2268,,None,None,None
2269,,None,None,unisex
2270,clothing,outerwear,None,womens
2271,sports & outdoors,team shop,team clothing,unisex
2272,sports & outdoors,team shop,team accessories,unisex
2273,,None,None,unisex
2274,clothing,tops,blouses,womens
2275,shoes,None,None,womens
2276,accessories,jewelry,None,unisex
2277,sports & outdoors,team shop,team clothing,unisex
2278,shoes,boots,None,womens
2279,clothing,sweaters,None,womens
2280,shoes,sandals,None,womens
2281,,None,None,None
2284,sports & outdoors,team shop,team accessories,unisex
2285,clothing,dresses,None,womens
2286,sports & outdoors,team shop,team clothing,unisex
2287,,None,None,None
2288,kids & baby,boys clothing,boys pants & shorts,boys
2291,sports & outdoors,team shop,team clothing,unisex
2292,sports & outdoors,team shop,None,unisex
2293,clothing,outerwear,blazers,mens
2294,clothing,denim,straight leg,mens
2295,sports & outdoors,team shop,None,unisex
2296,shoes,None,None,mens
2297,shoes,None,None,mens
2298,,None,None,None
2299,sports & outdoors,team shop,team clothing,unisex
2300,sports & outdoors,team shop,team accessories,unisex
2301,sports & outdoors,team shop,team clothing,unisex
2302,sports & outdoors,team shop,team kids & baby,baby & toddler
2303,kids & baby,baby,baby clothes,baby & toddler
2304,clothing,dresses,evening dresses,womens
2305,sports & outdoors,team shop,team clothing,unisex
2307,,None,None,unisex
2308,sports & outdoors,team shop,team clothing,unisex
2309,clothing,pants,None,womens
2310,shoes,sandals,None,womens
2311,clothing,outerwear,quilted & puffers,womens
2312,,None,None,None
2314,clothing,shorts,None,mens
2315,clothing,underwear & intimates,bras,womens
2316,sports & outdoors,team shop,team clothing,unisex
2317,,None,None,None
2318,shoes,sandals,None,womens
2319,,None,None,None
2320,,None,None,None
2321,sports & outdoors,team shop,team clothing,unisex
2322,clothing,denim,None,womens
2323,sports & outdoors,team shop,team clothing,unisex
2325,sports & outdoors,team shop,team clothing,unisex
2326,clothing,outerwear,None,womens
2327,sports & outdoors,team shop,team clothing,unisex
2328,accessories,luggage & bags,business bags,None
2329,,None,None,None
2330,,None,None,None
2331,sports & outdoors,team shop,team kids & baby,baby & toddler
2332,accessories,None,None,mens
2333,sports & outdoors,team shop,team clothing,unisex
2334,sports & outdoors,team shop,team clothing,unisex
2335,clothing,shorts,None,plus size
2336,sports & outdoors,team shop,team clothing,None
2337,sports & outdoors,team shop,team clothing,unisex
2338,clothing,skirts,None,womens
2339,clothing,tops,polo shirts,mens
2340,sports & outdoors,team shop,team clothing,unisex
2341,clothing,tops,None,womens
2342,kids & baby,baby,baby clothes,baby & toddler
2343,sports & outdoors,team shop,team clothing,unisex
2344,sports & outdoors,team shop,team clothing,unisex
2345,home & pet,kitchen & dining,kitchen,None
2346,sports & outdoors,team shop,team accessories,unisex
2347,sports & outdoors,team shop,team clothing,unisex
2348,kids & baby,girls clothing,girls shirts & tops,girls
2349,clothing,dresses,cocktail dresses,womens
2350,clothing,outerwear,None,mens
2351,clothing,swimwear,None,mens
2352,sports & outdoors,team shop,team clothing,None
2353,shoes,pumps,None,womens
2355,sports & outdoors,team shop,team clothing,unisex
2356,sports & outdoors,team shop,team clothing,unisex
2357,sports & outdoors,team shop,team clothing,unisex
2358,sports & outdoors,team shop,team clothing,unisex
2359,health & beauty,beauty,makeup & fragrance,None
2360,sports & outdoors,team shop,team clothing,unisex
2361,kids & baby,girls clothing,None,baby & toddler
2362,clothing,tops,None,womens
2363,clothing,tops,None,womens
2364,clothing,tops,t-shirts,mens
2365,,None,None,unisex
2366,accessories,hats,None,mens
2367,sports & outdoors,team shop,team accessories,None
2368,sports & outdoors,team shop,team clothing,None
2369,accessories,socks & hosiery,hosiery,womens
2370,clothing,tops,polo shirts,womens
2371,health & beauty,beauty,hair care,womens
2372,accessories,jewelry,bracelets,None
2373,accessories,gloves & mittens,gloves,mens
2375,sports & outdoors,team shop,team clothing,None
2376,clothing,underwear & intimates,underwear,mens
2377,,None,None,womens
2378,clothing,outerwear,None,womens
2379,,None,None,None
2381,sports & outdoors,team shop,team clothing,unisex
2382,sports & outdoors,team shop,team clothing,unisex
2383,sports & outdoors,team shop,None,unisex
2384,clothing,outerwear,None,mens
2385,clothing,tops,None,mens
2386,sports & outdoors,team shop,team clothing,unisex
2387,clothing,underwear & intimates,None,plus size
2388,sports & outdoors,team shop,team clothing,unisex
2389,,None,None,unisex
2391,clothing,dresses,None,womens
2392,sports & outdoors,team shop,team accessories,unisex
2393,sports & outdoors,team shop,team clothing,unisex
2394,,None,None,unisex
2395,,None,None,unisex
2397,sports & outdoors,team shop,team clothing,unisex
2398,accessories,handbags,crossbody bags,None
2399,sports & outdoors,team shop,team clothing,None
2400,clothing,sweaters,None,womens
2401,clothing,shorts,None,mens
2402,sports & outdoors,team shop,team clothing,None
2403,sports & outdoors,team shop,team clothing,unisex
2404,clothing,sleepwear & loungewear,pajamas,womens
2405,clothing,pants,None,womens
2406,clothing,skirts,None,womens
2407,clothing,sweaters,None,womens
2408,sports & outdoors,team shop,team clothing,unisex
2409,clothing,denim,None,mens
2410,,None,None,unisex
2412,,None,None,None
2414,clothing,tops,polo shirts,mens
2415,accessories,sunglasses,None,womens
2416,sports & outdoors,team shop,team accessories,unisex
2418,shoes,pumps,None,womens
2419,clothing,pants,None,womens
2420,sports & outdoors,team shop,team clothing,unisex
2421,sports & outdoors,team shop,team clothing,unisex
2422,sports & outdoors,team shop,team clothing,None
2423,,None,None,unisex
2425,clothing,underwear & intimates,None,womens
2426,,None,None,None
2427,accessories,jewelry,necklaces,unisex
2429,shoes,sandals,None,womens
2430,sports & outdoors,team shop,team clothing,unisex
2431,,None,None,None
2433,accessories,jewelry,necklaces,unisex
2434,,None,None,unisex
2435,,None,None,None
2436,sports & outdoors,team shop,team clothing,None
2439,sports & outdoors,team shop,team shoes,unisex
2440,sports & outdoors,team shop,team clothing,unisex
2441,clothing,tops,None,womens
2443,sports & outdoors,team shop,team home & pet,None
2444,clothing,tops,None,womens
2445,clothing,swimwear,two-piece swimsuits,womens
2446,sports & outdoors,team shop,team accessories,unisex
2447,clothing,tops,dress shirts,mens
2448,sports & outdoors,team shop,team accessories,unisex
2449,shoes,boots,None,womens
2450,kids & baby,baby,baby clothes,baby boys
2451,sports & outdoors,team shop,team clothing,unisex
2452,shoes,sandals,None,womens
2453,sports & outdoors,team shop,team clothing,unisex
2454,clothing,suits,None,mens
2456,sports & outdoors,team shop,team clothing,None
2457,clothing,activewear,active tops,mens
2458,clothing,underwear & intimates,underwear,mens
2459,sports & outdoors,adventure sports,hiking & camping,None
2460,sports & outdoors,team shop,team clothing,unisex
2461,sports & outdoors,team shop,team clothing,unisex
2462,sports & outdoors,team shop,team clothing,unisex
2463,sports & outdoors,team shop,team clothing,unisex
2464,clothing,dresses,day dresses,womens
2465,sports & outdoors,team shop,team clothing,unisex
2466,sports & outdoors,team shop,team kids & baby,baby & toddler
2467,clothing,activewear,active tops,womens
2468,clothing,outerwear,quilted & puffers,womens
2469,sports & outdoors,team shop,team clothing,None
2470,accessories,luggage & bags,luggage,unisex
2471,clothing,tops,None,womens
2472,sports & outdoors,team shop,team clothing,unisex
2473,sports & outdoors,team shop,team clothing,None
2475,sports & outdoors,team shop,team clothing,unisex
2476,sports & outdoors,team shop,team clothing,None
2479,sports & outdoors,team shop,team clothing,unisex
2480,sports & outdoors,team shop,team accessories,unisex
2481,sports & outdoors,team shop,team clothing,unisex
2483,automotive,auto interior accessories,None,None
2484,sports & outdoors,team shop,team clothing,unisex
2485,accessories,wallets & money clips,wallets,womens
2486,sports & outdoors,team shop,team accessories,None
2487,clothing,underwear & intimates,bras,womens
2488,clothing,dresses,cocktail dresses,womens
2490,,None,None,None
2491,,None,None,unisex
2492,sports & outdoors,team shop,team accessories,None
2493,sports & outdoors,team shop,team accessories,None
2494,,None,None,None
2495,,None,None,None
2496,sports & outdoors,team shop,team clothing,unisex
2497,,None,None,unisex
2498,sports & outdoors,team shop,team clothing,unisex
2499,sports & outdoors,team shop,team clothing,unisex
2500,,None,None,unisex
2502,sports & outdoors,team shop,team clothing,unisex
2503,clothing,dresses,None,womens
2505,accessories,watches,None,womens
2506,clothing,tops,sweatshirts,mens
2507,,None,None,unisex
2508,clothing,shorts,None,mens
2510,,None,None,unisex
2511,sports & outdoors,team shop,team clothing,unisex
2512,clothing,tops,None,mens
2513,sports & outdoors,team shop,team accessories,unisex
2514,accessories,handbags,satchels,unisex
2515,,None,None,None
2516,clothing,sweaters,None,womens
2517,accessories,luggage & bags,backpacks,unisex
2518,accessories,handbags,satchels,womens
2519,clothing,dresses,day dresses,womens
2520,clothing,dresses,None,womens
2521,clothing,underwear & intimates,bras,womens
2522,sports & outdoors,team shop,team clothing,unisex
2523,,None,None,None
2524,sports & outdoors,team shop,team clothing,unisex
2525,clothing,sweaters,None,mens
2526,accessories,jewelry,earrings,None
2527,sports & outdoors,team shop,team accessories,unisex
2528,sports & outdoors,team shop,team accessories,None
2529,sports & outdoors,team shop,team clothing,None
2531,sports & outdoors,team shop,team clothing,unisex
2532,,None,None,mens
2533,sports & outdoors,team shop,team clothing,None
2534,accessories,jewelry,rings,unisex
2535,,None,None,None
2536,sports & outdoors,team shop,team clothing,None
2538,sports & outdoors,team shop,team clothing,None
2540,sports & outdoors,team shop,team clothing,unisex
2541,clothing,tops,dress shirts,mens
2542,clothing,sweaters,cardigans,plus size
2543,clothing,sweaters,None,womens
2544,sports & outdoors,team shop,None,unisex
2545,clothing,underwear & intimates,underwear,mens
2546,clothing,pants,casual pants,womens
2547,clothing,dresses,None,womens
2548,sports & outdoors,team shop,None,unisex
2549,sports & outdoors,team shop,team clothing,unisex
2550,sports & outdoors,team shop,team clothing,unisex
2551,shoes,slippers,None,unisex
2552,sports & outdoors,team shop,team clothing,None
2553,sports & outdoors,team shop,team clothing,unisex
2554,sports & outdoors,team shop,team clothing,unisex
2557,clothing,sweaters,None,womens
2558,clothing,tops,polo shirts,mens
2559,,None,None,None
2561,sports & outdoors,team shop,team clothing,unisex
2562,,None,None,None
2563,sports & outdoors,team shop,team clothing,unisex
2565,clothing,dresses,cocktail dresses,womens
2566,sports & outdoors,team shop,team clothing,unisex
2567,clothing,denim,None,plus size
2568,,None,None,None
2569,sports & outdoors,team shop,team accessories,None
2570,,None,None,None
2571,sports & outdoors,team shop,team clothing,unisex
2572,kids & baby,boys clothing,boys pants & shorts,boys
2573,sports & outdoors,team shop,team clothing,unisex
2574,sports & outdoors,team shop,team clothing,unisex
2575,clothing,underwear & intimates,underwear,mens
2576,,None,None,None
2578,clothing,None,None,womens
2579,accessories,belts & buckles,None,mens
2580,,None,None,None
2581,sports & outdoors,team shop,team clothing,unisex
2582,accessories,jewelry,earrings,unisex
2584,accessories,jewelry,earrings,unisex
2585,sports & outdoors,team shop,team clothing,unisex
2586,shoes,pumps,None,womens
2588,sports & outdoors,team shop,team accessories,unisex
2589,shoes,flats,ballet flats,unisex
2590,clothing,tops,blouses,womens
2591,sports & outdoors,team shop,team accessories,unisex
